Model,MAE,MSE,RMSE,R2_Score
linear_regression,0.8142365452248758,1.100940133879097,1.049256943688769,0.8911392284036493
decision_tree,1.007309210391726,1.6407685342040639,1.2809248745356083,0.8377610887749842
random_forest,0.6501866814286746,0.6489880681867614,0.805597956915707,0.9358281711370562
ada_boost,0.8789459572053905,1.3019201000698033,1.141017133994842,0.8712663638203226
xgboost,0.7292780050072768,0.833419643229663,0.9129182018284349,0.9175916086319187
k_nearest_neighbors,3.0593288588768894,14.508434093536374,3.808993842675041,-0.43459147457205627
svm,3.891778689942248,18.80508392796101,4.336482898382168,-0.8594434732059475
